Date,COST
1999-11-01,78.5600
1999-11-02,80.5600
1999-11-03,81.3100
1999-11-04,81.3800
1999-11-05,85.5000
1999-11-08,86.5000
1999-11-09,85.2500
1999-11-10,85.1900
1999-11-11,89.5000
1999-11-12,88.8800
1999-11-15,87.2500
1999-11-16,87.0600
1999-11-17,86.0600
1999-11-18,86.0000
1999-11-19,85.3800
1999-11-22,82.8100
1999-11-23,85.8400
1999-11-24,87.1300
1999-11-26,88.5000
1999-11-29,92.3100
1999-11-30,91.6900
1999-12-01,95.4400
1999-12-02,95.6300
1999-12-03,98.6900
1999-12-06,98.0000
1999-12-07,95.5000
1999-12-08,92.1900
1999-12-09,91.9400
1999-12-10,91.7500
1999-12-13,93.9400
1999-12-14,91.4400
1999-12-15,91.3100
1999-12-16,90.0000
1999-12-17,90.5600
1999-12-20,88.3100
1999-12-21,87.1300
1999-12-22,87.5000
1999-12-23,89.1300
1999-12-27,89.5000
1999-12-28,91.2500
1999-12-29,90.8800
1999-12-30,91.3100
1999-12-31,91.2500
2000-01-03,89.0000
2000-01-04,84.1300
2000-01-05,85.5600
2000-01-06,87.2800
2000-01-07,93.0600
2000-01-10,95.0000
2000-01-11,91.6300
2000-01-12,91.5000
2000-01-13,94.9400
2000-01-14,49.0600
2000-01-18,51.2500
2000-01-19,51.8800
2000-01-20,50.0000
2000-01-21,48.5000
2000-01-24,47.0000
2000-01-25,49.6900
2000-01-26,50.4400
2000-01-27,48.9400
2000-01-28,46.0000
2000-01-31,48.9400
2000-02-01,51.8800
2000-02-02,54.0000
2000-02-03,54.1900
2000-02-04,53.0000
2000-02-07,51.2500
2000-02-08,53.0600
2000-02-09,52.8800
2000-02-10,52.1300
2000-02-11,51.6900
2000-02-14,50.7500
2000-02-15,49.3800
2000-02-16,47.7500
2000-02-17,44.0000
2000-02-18,44.9400
2000-02-22,44.0000
2000-02-23,44.5600
2000-02-24,44.3800
2000-02-25,47.6300
2000-02-28,48.9400
2000-02-29,49.6300
2000-03-01,46.5000
2000-03-02,49.6300
2000-03-03,49.9400
2000-03-06,50.1300
2000-03-07,45.3800
2000-03-08,45.6300
2000-03-09,44.5600
2000-03-10,44.1300
2000-03-13,43.0000
2000-03-14,43.3100
2000-03-15,49.8100
2000-03-16,55.9500
2000-03-17,53.9400
2000-03-20,52.3100
2000-03-21,52.1900
2000-03-22,52.8800
2000-03-23,53.6300
2000-03-24,53.8800
2000-03-27,53.4400
2000-03-28,51.1300
2000-03-29,50.5000
2000-03-30,50.2500
2000-03-31,52.5600
2000-04-03,52.5000
2000-04-04,54.0600
2000-04-05,53.5000
2000-04-06,51.8800
2000-04-07,52.8100
2000-04-10,54.2500
2000-04-11,57.4400
2000-04-12,55.0600
2000-04-13,54.6300
2000-04-14,50.8800
2000-04-17,49.1300
2000-04-18,50.9400
2000-04-19,52.2500
2000-04-20,54.8100
2000-04-24,56.0000
2000-04-25,57.0000
2000-04-26,54.9400
2000-04-27,56.0600
2000-04-28,54.0600
2000-05-01,58.4400
2000-05-02,54.7500
2000-05-03,52.1900
2000-05-04,48.9400
2000-05-05,48.8100
2000-05-08,47.4400
2000-05-09,49.1900
2000-05-10,48.9400
2000-05-11,49.8100
2000-05-12,47.8100
2000-05-15,48.9400
2000-05-16,51.3100
2000-05-17,47.7300
2000-05-18,46.7500
2000-05-19,45.0000
2000-05-22,43.1300
2000-05-23,40.6300
2000-05-24,31.8800
2000-05-25,30.0000
2000-05-26,30.8800
2000-05-30,32.5000
2000-05-31,31.9400
2000-06-01,32.3800
2000-06-02,34.2500
2000-06-05,33.2500
2000-06-06,31.7500
2000-06-07,32.7500
2000-06-08,32.0600
2000-06-09,32.3100
2000-06-12,31.4400
2000-06-13,32.1300
2000-06-14,32.5600
2000-06-15,33.1900
2000-06-16,32.5000
2000-06-19,32.0000
2000-06-20,31.6300
2000-06-21,32.3800
2000-06-22,32.0000
2000-06-23,32.0000
2000-06-26,31.8800
2000-06-27,33.0000
2000-06-28,32.3100
2000-06-29,32.0600
2000-06-30,33.0000
2000-07-03,34.1900
2000-07-05,33.2500
2000-07-06,32.8800
2000-07-07,34.5600
2000-07-10,37.0600
2000-07-11,35.5600
2000-07-12,36.5600
2000-07-13,36.5000
2000-07-14,36.0000
2000-07-17,35.5000
2000-07-18,33.8800
2000-07-19,32.9400
2000-07-20,32.9400
2000-07-21,32.2500
2000-07-24,31.6900
2000-07-25,31.6900
2000-07-26,31.3100
2000-07-27,31.9400
2000-07-28,32.2500
2000-07-31,32.5600
2000-08-01,32.5000
2000-08-02,33.5600
2000-08-03,34.5600
2000-08-04,35.5000
2000-08-07,36.6900
2000-08-08,37.5600
2000-08-09,36.1900
2000-08-10,34.3800
2000-08-11,34.9400
2000-08-14,35.7500
2000-08-15,34.7500
2000-08-16,33.1900
2000-08-17,33.0000
2000-08-18,33.4400
2000-08-21,32.7500
2000-08-22,32.9400
2000-08-23,32.2500
2000-08-24,32.3800
2000-08-25,32.9400
2000-08-28,33.0600
2000-08-29,34.7500
2000-08-30,35.6300
2000-08-31,34.4400
2000-09-01,35.3100
2000-09-05,36.1900
2000-09-06,36.5600
2000-09-07,36.5000
2000-09-08,37.6900
2000-09-11,37.6300
2000-09-12,37.6400
2000-09-13,38.3800
2000-09-14,37.1900
2000-09-15,35.3100
2000-09-18,34.0600
2000-09-19,33.4400
2000-09-20,34.2500
2000-09-21,35.3800
2000-09-22,34.9400
2000-09-25,34.8800
2000-09-26,33.8100
2000-09-27,34.5600
2000-09-28,35.8800
2000-09-29,34.9400
2000-10-02,32.9400
2000-10-03,33.8300
2000-10-04,34.4800
2000-10-05,33.6300
2000-10-06,33.5000
2000-10-09,34.1900
2000-10-10,33.0000
2000-10-11,30.6300
2000-10-12,31.2500
2000-10-13,32.1300
2000-10-16,32.0000
2000-10-17,32.0000
2000-10-18,33.0000
2000-10-19,34.9400
2000-10-20,34.3100
2000-10-23,33.5600
2000-10-24,33.9400
2000-10-25,33.0000
2000-10-26,33.0000
2000-10-27,33.6900
2000-10-30,34.5600
2000-10-31,36.6300
2000-11-01,35.7500
2000-11-02,36.1900
2000-11-03,35.3100
2000-11-06,34.5600
2000-11-07,35.7500
2000-11-08,35.5600
2000-11-09,34.0600
2000-11-10,33.0000
2000-11-13,34.4400
2000-11-14,36.8800
2000-11-15,36.7500
2000-11-16,35.3100
2000-11-17,36.0600
2000-11-20,34.9400
2000-11-21,36.0600
2000-11-22,34.5000
2000-11-24,35.4400
2000-11-27,36.6900
2000-11-28,35.2500
2000-11-29,36.4400
2000-11-30,32.6300
2000-12-01,32.6300
2000-12-04,34.1300
2000-12-05,35.3100
2000-12-06,33.6300
2000-12-07,33.1900
2000-12-08,33.2500
2000-12-11,32.9400
2000-12-12,33.1900
2000-12-13,32.7500
2000-12-14,34.9400
2000-12-15,34.8800
2000-12-18,36.4400
2000-12-19,33.9400
2000-12-20,34.4400
2000-12-21,35.6300
2000-12-22,37.3800
2000-12-26,36.0600
2000-12-27,37.1900
2000-12-28,38.6300
2000-12-29,39.9400
2001-01-02,41.1900
2001-01-03,42.6900
2001-01-04,43.6300
2001-01-05,41.3100
2001-01-08,41.9400
2001-01-09,41.8100
2001-01-10,40.6900
2001-01-11,41.3100
2001-01-12,43.0600
2001-01-16,43.5600
2001-01-17,41.4400
2001-01-18,41.4400
2001-01-19,40.4400
2001-01-22,42.2500
2001-01-23,42.5000
2001-01-24,42.9400
2001-01-25,43.1900
2001-01-26,41.2500
2001-01-29,44.0600
2001-01-30,43.7500
2001-01-31,46.2500
2001-02-01,46.2500
2001-02-02,43.9400
2001-02-05,43.1900
2001-02-06,43.7500
2001-02-07,45.2500
2001-02-08,42.8800
2001-02-09,41.3100
2001-02-12,42.4400
2001-02-13,42.9400
2001-02-14,43.6900
2001-02-15,42.8100
2001-02-16,42.6900
2001-02-20,44.1300
2001-02-21,42.0000
2001-02-22,41.8800
2001-02-23,41.3800
2001-02-26,42.8800
2001-02-27,43.0000
2001-02-28,41.7500
2001-03-01,40.3100
2001-03-02,38.6900
2001-03-05,37.6900
2001-03-06,37.8100
2001-03-07,39.9400
2001-03-08,40.1900
2001-03-09,39.3800
2001-03-12,37.9400
2001-03-13,38.0600
2001-03-14,36.5000
2001-03-15,37.6300
2001-03-16,37.1300
2001-03-19,38.1900
2001-03-20,39.5000
2001-03-21,38.3800
2001-03-22,37.2500
2001-03-23,37.0600
2001-03-26,37.8800
2001-03-27,37.9400
2001-03-28,37.6900
2001-03-29,37.9400
2001-03-30,39.2500
2001-04-02,36.1900
2001-04-03,34.0600
2001-04-04,35.0000
2001-04-05,36.0000
2001-04-06,35.5600
2001-04-09,34.7900
2001-04-10,35.7300
2001-04-11,36.2700
2001-04-12,36.3100
2001-04-16,34.9700
2001-04-17,36.2800
2001-04-18,38.3600
2001-04-19,36.9800
2001-04-20,36.5500
2001-04-23,36.2400
2001-04-24,34.2800
2001-04-25,34.9700
2001-04-26,34.7800
2001-04-27,35.3200
2001-04-30,34.9300
2001-05-01,35.9200
2001-05-02,36.0400
2001-05-03,35.4000
2001-05-04,35.8700
2001-05-07,34.7400
2001-05-08,34.7700
2001-05-09,34.8100
2001-05-10,35.9400
2001-05-11,35.4900
2001-05-14,36.1100
2001-05-15,35.5500
2001-05-16,36.1500
2001-05-17,36.3000
2001-05-18,35.7800
2001-05-21,37.0300
2001-05-22,37.8900
2001-05-23,36.8500
2001-05-24,37.8000
2001-05-25,37.6000
2001-05-29,36.7800
2001-05-30,37.2900
2001-05-31,38.9100
2001-06-01,38.7800
2001-06-04,38.4900
2001-06-05,39.7500
2001-06-06,39.5000
2001-06-07,41.0000
2001-06-08,40.3900
2001-06-11,39.7700
2001-06-12,40.4300
2001-06-13,40.4900
2001-06-14,40.4200
2001-06-15,40.5000
2001-06-18,42.0800
2001-06-19,42.4500
2001-06-20,42.6100
2001-06-21,43.6200
2001-06-22,41.9200
2001-06-25,41.9500
2001-06-26,40.3400
2001-06-27,39.7300
2001-06-28,42.1100
2001-06-29,41.0800
2001-07-02,42.3200
2001-07-03,42.1400
2001-07-05,41.3000
2001-07-06,40.4100
2001-07-09,41.9600
2001-07-10,41.6900
2001-07-11,42.1900
2001-07-12,43.1300
2001-07-13,43.1000
2001-07-16,44.5000
2001-07-17,44.2000
2001-07-18,43.6300
2001-07-19,43.9700
2001-07-20,44.3400
2001-07-23,43.7200
2001-07-24,42.0200
2001-07-25,41.8100
2001-07-26,42.2000
2001-07-27,41.3800
2001-07-30,42.0800
2001-07-31,43.0500
2001-08-01,42.2500
2001-08-02,43.4000
2001-08-03,43.0100
2001-08-06,41.6300
2001-08-07,42.1600
2001-08-08,42.1700
2001-08-09,40.9100
2001-08-10,39.9800
2001-08-13,40.7000
2001-08-14,41.0200
2001-08-15,39.7000
2001-08-16,40.3900
2001-08-17,39.4100
2001-08-20,40.2300
2001-08-21,38.6900
2001-08-22,38.8700
2001-08-23,38.6000
2001-08-24,39.1800
2001-08-27,39.4600
2001-08-28,39.7200
2001-08-29,38.8400
2001-08-30,37.8900
2001-08-31,37.4100
2001-09-04,37.6600
2001-09-05,37.2100
2001-09-06,35.0200
2001-09-07,33.9600
2001-09-10,34.1700
2001-09-17,32.1500
2001-09-18,32.3000
2001-09-19,31.8100
2001-09-20,31.5300
2001-09-21,31.2200
2001-09-24,33.5000
2001-09-25,33.5100
2001-09-26,33.6700
2001-09-27,33.6600
2001-09-28,35.5600
2001-10-01,35.2500
2001-10-02,35.4900
2001-10-03,36.4200
2001-10-04,35.2200
2001-10-05,35.3700
2001-10-08,34.0400
2001-10-09,33.5400
2001-10-10,35.7500
2001-10-11,38.2400
2001-10-12,38.3600
2001-10-15,38.0900
2001-10-16,39.1800
2001-10-17,38.0100
2001-10-18,37.9000
2001-10-19,39.0600
2001-10-22,39.0100
2001-10-23,39.3800
2001-10-24,39.7600
2001-10-25,40.2000
2001-10-26,40.5200
2001-10-29,38.4600
2001-10-30,37.5300
2001-10-31,37.8300
2001-11-01,39.4200
2001-11-02,40.2000
2001-11-05,41.0700
2001-11-06,41.8000
2001-11-07,41.3700
2001-11-08,42.6600
2001-11-09,43.0500
2001-11-12,42.4100
2001-11-13,43.0700
2001-11-14,43.1200
2001-11-15,42.5900
2001-11-16,42.1300
2001-11-19,42.9100
2001-11-20,41.8000
2001-11-21,40.8800
2001-11-23,42.1300
2001-11-26,42.8400
2001-11-27,42.6600
2001-11-28,40.8600
2001-11-29,41.2600
2001-11-30,40.8800
2001-12-03,40.2200
2001-12-04,40.9800
2001-12-05,43.4800
2001-12-06,42.4700
2001-12-07,43.0800
2001-12-10,42.3900
2001-12-11,41.3300
2001-12-12,40.7500
2001-12-13,41.5800
2001-12-14,42.2700
2001-12-17,42.5000
2001-12-18,43.3300
2001-12-19,43.3100
2001-12-20,43.5100
2001-12-21,43.6000
2001-12-24,44.0700
2001-12-26,44.0100
2001-12-27,44.1500
2001-12-28,45.1900
2001-12-31,44.3800
2002-01-02,44.4500
2002-01-03,44.8400
2002-01-04,44.7900
2002-01-07,44.1200
2002-01-08,44.4200
2002-01-09,44.1500
2002-01-10,44.7000
2002-01-11,43.6900
2002-01-14,43.0900
2002-01-15,42.8400
2002-01-16,41.9800
2002-01-17,43.3500
2002-01-18,42.9300
2002-01-22,43.4800
2002-01-23,44.6600
2002-01-24,44.2500
2002-01-25,44.2000
2002-01-28,44.0000
2002-01-29,43.5700
2002-01-30,45.6000
2002-01-31,46.0000
2002-02-01,45.2600
2002-02-04,44.8500
2002-02-05,45.0700
2002-02-06,44.7500
2002-02-07,44.1400
2002-02-08,44.0800
2002-02-11,44.9800
2002-02-12,44.4500
2002-02-13,45.4500
2002-02-14,46.3200
2002-02-15,45.8900
2002-02-19,45.2300
2002-02-20,45.8600
2002-02-21,45.9100
2002-02-22,45.2300
2002-02-25,44.4000
2002-02-26,43.4700
2002-02-27,42.1900
2002-02-28,41.2600
2002-03-01,40.9000
2002-03-04,40.9900
2002-03-05,39.0400
2002-03-06,38.9200
2002-03-07,39.8800
2002-03-08,39.9100
2002-03-11,40.7700
2002-03-12,41.4500
2002-03-13,41.9200
2002-03-14,41.3200
2002-03-15,42.1500
2002-03-18,42.2100
2002-03-19,42.2600
2002-03-20,41.7700
2002-03-21,40.9900
2002-03-22,40.5000
2002-03-25,39.8500
2002-03-26,40.1400
2002-03-27,40.1000
2002-03-28,39.8200
2002-04-01,39.6500
2002-04-02,38.7900
2002-04-03,38.9000
2002-04-04,39.4700
2002-04-05,39.2500
2002-04-08,40.4100
2002-04-09,40.7600
2002-04-10,42.0700
2002-04-11,41.8600
2002-04-12,41.8500
2002-04-15,42.0000
2002-04-16,43.0000
2002-04-17,42.5400
2002-04-18,42.7600
2002-04-19,42.4600
2002-04-22,41.3600
2002-04-23,40.4800
2002-04-24,39.4000
2002-04-25,40.1500
2002-04-26,39.9200
2002-04-29,39.7900
2002-04-30,40.2000
2002-05-01,40.2700
2002-05-02,40.6300
2002-05-03,40.3700
2002-05-06,40.2100
2002-05-07,40.5700
2002-05-08,41.7500
2002-05-09,41.0100
2002-05-10,40.3000
2002-05-13,40.0000
2002-05-14,40.6700
2002-05-15,41.1300
2002-05-16,41.5300
2002-05-17,41.3500
2002-05-20,40.9400
2002-05-21,39.7600
2002-05-22,39.2900
2002-05-23,39.7900
2002-05-24,38.9100
2002-05-28,38.4600
2002-05-29,38.4600
2002-05-30,39.3200
2002-05-31,39.2700
2002-06-03,38.7300
2002-06-04,38.9200
2002-06-05,39.6700
2002-06-06,39.3600
2002-06-07,39.4000
2002-06-10,40.1300
2002-06-11,39.6500
2002-06-12,40.7300
2002-06-13,39.8000
2002-06-14,39.7800
2002-06-17,40.6900
2002-06-18,40.7500
2002-06-19,40.9500
2002-06-20,40.0000
2002-06-21,39.5800
2002-06-24,38.6000
2002-06-25,37.7800
2002-06-26,37.5900
2002-06-27,38.5900
2002-06-28,38.6200
2002-07-01,37.7700
2002-07-02,36.5200
2002-07-03,37.8000
2002-07-05,39.3000
2002-07-08,38.5500
2002-07-09,37.2600
2002-07-10,36.2100
2002-07-11,37.3600
2002-07-12,36.9100
2002-07-15,36.8600
2002-07-16,34.4700
2002-07-17,34.6700
2002-07-18,33.8800
2002-07-19,33.0800
2002-07-22,32.2000
2002-07-23,31.9400
2002-07-24,35.0600
2002-07-25,34.0800
2002-07-26,34.5500
2002-07-29,36.2600
2002-07-30,35.1400
2002-07-31,34.8700
2002-08-01,33.1900
2002-08-02,32.3800
2002-08-05,31.8500
2002-08-06,33.2200
2002-08-07,34.5300
2002-08-08,33.1400
2002-08-09,33.4100
2002-08-12,32.6400
2002-08-13,32.6200
2002-08-14,34.7900
2002-08-15,36.4800
2002-08-16,35.8900
2002-08-19,36.1300
2002-08-20,35.3800
2002-08-21,34.9600
2002-08-22,35.1300
2002-08-23,34.2000
2002-08-26,34.8000
2002-08-27,32.7200
2002-08-28,33.2100
