Date,DELL
2018-12-21,42.1733
2018-12-24,42.1733
2018-12-26,44.9100
2018-12-27,44.6000
2018-12-28,45.4300
2018-12-31,48.8700
2019-01-02,47.1200
2019-01-03,45.1300
2019-01-04,46.0200
2019-01-07,46.3200
2019-01-08,46.8700
2019-01-09,46.9400
2019-01-10,45.1900
2019-01-11,44.4700
2019-01-14,42.8000
2019-01-15,43.0100
2019-01-16,42.6200
2019-01-17,43.7100
2019-01-18,43.3500
2019-01-22,44.0600
2019-01-23,44.6200
2019-01-24,44.9600
2019-01-25,45.9100
2019-01-28,46.9000
2019-01-29,46.8500
2019-01-30,48.0000
2019-01-31,48.5900
2019-02-01,49.6500
2019-02-04,50.8300
2019-02-05,51.0700
2019-02-06,50.9400
2019-02-07,50.4400
2019-02-08,51.4900
2019-02-11,52.0200
2019-02-12,53.6000
2019-02-13,53.9500
2019-02-14,54.3800
2019-02-15,55.0000
2019-02-19,55.0400
2019-02-20,55.5400
2019-02-21,55.5400
2019-02-22,56.1800
2019-02-25,56.6400
2019-02-26,56.7300
2019-02-27,56.2500
2019-02-28,55.8200
2019-03-01,56.6500
2019-03-04,55.3400
2019-03-05,55.1200
2019-03-06,53.7300
2019-03-07,53.1300
2019-03-08,52.3500
2019-03-11,54.1500
2019-03-12,54.7000
2019-03-13,54.9500
2019-03-14,57.1800
2019-03-15,60.2300
2019-03-18,60.4900
2019-03-19,60.4400
2019-03-20,59.6300
2019-03-21,60.7100
2019-03-22,59.5500
2019-03-25,57.2900
2019-03-26,58.8900
2019-03-27,57.5400
2019-03-28,56.9200
2019-03-29,58.6900
2019-04-01,60.4300
2019-04-02,61.2700
2019-04-03,61.5900
2019-04-04,60.3400
2019-04-05,62.2000
2019-04-08,62.4900
2019-04-09,61.7300
2019-04-10,63.2900
2019-04-11,63.8600
2019-04-12,63.5100
2019-04-15,63.8800
2019-04-16,62.7900
2019-04-17,62.7500
2019-04-18,62.8500
2019-04-22,63.2500
2019-04-23,65.0000
2019-04-24,66.2500
2019-04-25,67.0000
2019-04-26,65.3600
2019-04-29,65.5500
2019-04-30,67.4100
2019-05-01,68.5800
2019-05-02,68.1400
2019-05-03,68.7000
2019-05-06,68.1900
2019-05-07,67.4900
2019-05-08,67.1000
2019-05-09,67.0900
2019-05-10,67.1600
2019-05-13,64.0400
2019-05-14,66.1500
2019-05-15,67.9000
2019-05-16,69.8000
2019-05-17,69.4300
2019-05-20,68.0000
2019-05-21,69.6500
2019-05-22,69.0000
2019-05-23,65.7000
2019-05-24,66.1200
2019-05-28,66.4100
2019-05-29,66.2000
2019-05-30,66.4100
2019-05-31,59.5500
2019-06-03,55.8600
2019-06-04,57.6800
2019-06-05,54.5000
2019-06-06,53.2300
2019-06-07,54.3000
2019-06-10,54.2000
2019-06-11,54.3400
2019-06-12,53.0300
2019-06-13,53.8300
2019-06-14,51.3200
2019-06-17,50.6300
2019-06-18,51.5100
2019-06-19,53.4200
2019-06-20,54.4100
2019-06-21,53.9900
2019-06-24,53.3000
2019-06-25,52.3100
2019-06-26,53.2300
2019-06-27,52.2100
2019-06-28,50.8000
2019-07-01,51.5600
2019-07-02,52.1800
2019-07-03,52.9200
2019-07-05,52.3700
2019-07-08,51.2900
2019-07-09,51.1000
2019-07-10,52.2900
2019-07-11,53.4800
2019-07-12,53.7800
2019-07-15,55.2200
2019-07-16,56.0100
2019-07-17,56.5000
2019-07-18,57.3900
2019-07-19,56.8000
2019-07-22,56.4200
2019-07-23,55.4600
2019-07-24,56.2200
2019-07-25,55.0700
2019-07-26,55.2800
2019-07-29,55.9700
2019-07-30,57.2300
2019-07-31,57.7400
2019-08-01,57.6900
2019-08-02,52.4100
2019-08-05,50.4200
2019-08-06,50.7700
2019-08-07,50.3800
2019-08-08,51.3300
2019-08-09,50.4300
2019-08-12,49.5100
2019-08-13,49.5200
2019-08-14,48.6000
2019-08-15,46.9000
2019-08-16,48.4300
2019-08-19,49.0500
2019-08-20,48.4700
2019-08-21,48.9800
2019-08-22,49.0400
2019-08-23,45.8100
2019-08-26,46.4100
2019-08-27,45.6000
2019-08-28,45.3000
2019-08-29,46.7700
2019-08-30,51.5300
2019-09-03,51.0700
