Date,NKE
1999-11-01,56.3100
1999-11-02,52.5000
1999-11-03,50.1900
1999-11-04,50.3800
1999-11-05,47.9400
1999-11-08,46.8800
1999-11-09,47.4400
1999-11-10,47.0000
1999-11-11,46.1300
1999-11-12,46.1300
1999-11-15,47.3100
1999-11-16,44.3100
1999-11-17,44.2500
1999-11-18,47.0000
1999-11-19,49.2500
1999-11-22,48.5600
1999-11-23,47.3800
1999-11-24,46.5600
1999-11-26,47.0000
1999-11-29,46.3800
1999-11-30,46.0000
1999-12-01,47.0000
1999-12-02,45.5900
1999-12-03,46.3800
1999-12-06,47.0600
1999-12-07,46.4400
1999-12-08,45.2100
1999-12-09,45.7500
1999-12-10,43.8800
1999-12-13,42.7900
1999-12-14,40.1900
1999-12-15,41.8800
1999-12-16,45.6900
1999-12-17,52.4400
1999-12-20,51.1900
1999-12-21,49.1300
1999-12-22,49.5000
1999-12-23,51.8800
1999-12-27,49.6900
1999-12-28,50.0000
1999-12-29,49.8100
1999-12-30,49.1900
1999-12-31,49.5600
2000-01-03,48.1200
2000-01-04,45.5000
2000-01-05,48.1300
2000-01-06,47.8800
2000-01-07,47.8800
2000-01-10,48.6900
2000-01-11,51.1300
2000-01-12,49.3800
2000-01-13,50.0000
2000-01-14,51.3100
2000-01-18,50.6300
2000-01-19,52.8100
2000-01-20,51.5600
2000-01-21,50.6900
2000-01-24,49.6900
2000-01-25,48.8800
2000-01-26,49.5000
2000-01-27,47.2500
2000-01-28,46.8800
2000-01-31,45.5000
2000-02-01,46.6900
2000-02-02,47.4400
2000-02-03,47.8800
2000-02-04,46.6900
2000-02-07,45.2500
2000-02-08,37.0000
2000-02-09,33.7500
2000-02-10,33.7500
2000-02-11,34.0000
2000-02-14,32.3100
2000-02-15,30.4400
2000-02-16,29.5000
2000-02-17,29.0000
2000-02-18,28.0000
2000-02-22,27.0000
2000-02-23,28.0600
2000-02-24,27.0600
2000-02-25,26.5600
2000-02-28,27.8800
2000-02-29,28.4400
2000-03-01,28.1300
2000-03-02,29.4400
2000-03-03,29.3800
2000-03-06,28.5000
2000-03-07,27.8800
2000-03-08,27.2500
