Date,WMT
1999-11-01,56.2500
1999-11-02,56.1300
1999-11-03,55.7500
1999-11-04,56.0000
1999-11-05,58.0600
1999-11-08,58.5000
1999-11-09,58.0000
1999-11-10,57.1300
1999-11-11,57.4400
1999-11-12,58.8800
1999-11-15,58.9400
1999-11-16,59.8800
1999-11-17,58.8800
1999-11-18,59.3800
1999-11-19,58.1300
1999-11-22,56.7500
1999-11-23,56.0000
1999-11-24,57.9400
1999-11-26,58.2100
1999-11-29,59.0000
1999-11-30,57.5000
1999-12-01,58.5700
1999-12-02,57.6700
1999-12-03,59.0600
1999-12-06,59.5800
1999-12-07,58.0000
1999-12-08,58.6500
1999-12-09,62.2500
1999-12-10,63.2500
1999-12-13,68.0000
1999-12-14,67.0600
1999-12-15,66.0100
1999-12-16,68.6300
1999-12-17,65.0000
1999-12-20,64.2800
1999-12-21,64.8100
1999-12-22,65.6900
1999-12-23,67.3800
1999-12-27,69.4400
1999-12-28,69.3100
1999-12-29,67.3800
1999-12-30,67.8100
1999-12-31,69.1300
2000-01-03,66.8100
2000-01-04,64.3100
2000-01-05,62.8100
2000-01-06,63.6900
2000-01-07,68.5000
2000-01-10,67.2500
2000-01-11,66.2500
2000-01-12,65.0600
2000-01-13,65.1300
2000-01-14,64.5000
2000-01-18,65.5600
2000-01-19,64.0600
2000-01-20,63.3800
2000-01-21,62.4400
2000-01-24,59.3800
2000-01-25,61.1300
2000-01-26,61.9400
2000-01-27,59.1300
2000-01-28,55.1300
2000-01-31,54.7500
2000-02-01,58.6900
2000-02-02,58.3800
2000-02-03,58.3800
2000-02-04,56.3100
2000-02-07,55.7500
2000-02-08,59.5000
2000-02-09,57.8100
2000-02-10,57.0000
2000-02-11,56.0600
2000-02-14,58.8800
2000-02-15,58.0000
2000-02-16,52.7500
2000-02-17,48.3800
2000-02-18,47.7500
2000-02-22,48.1300
2000-02-23,47.0000
2000-02-24,47.8800
2000-02-25,44.5000
2000-02-28,46.1900
2000-02-29,48.7500
2000-03-01,49.0000
2000-03-02,50.5600
2000-03-03,52.6300
2000-03-06,50.5000
2000-03-07,47.5600
2000-03-08,48.3100
2000-03-09,48.9400
2000-03-10,47.9400
2000-03-13,47.6900
2000-03-14,47.7500
2000-03-15,51.5000
2000-03-16,54.6300
2000-03-17,55.7500
2000-03-20,55.1300
2000-03-21,56.6300
2000-03-22,55.3800
2000-03-23,54.0000
2000-03-24,55.5000
2000-03-27,55.4400
2000-03-28,54.5000
2000-03-29,58.7500
2000-03-30,59.0000
2000-03-31,56.5000
2000-04-03,61.1900
2000-04-04,60.0000
2000-04-05,58.2500
2000-04-06,61.1300
2000-04-07,61.5000
2000-04-10,63.5600
2000-04-11,63.3800
2000-04-12,62.4400
2000-04-13,60.0600
2000-04-14,55.0000
2000-04-17,54.0000
2000-04-18,53.8800
2000-04-19,54.9400
2000-04-20,57.6900
2000-04-24,58.8800
2000-04-25,59.6900
2000-04-26,58.7500
2000-04-27,57.6900
2000-04-28,55.3800
2000-05-01,57.9400
2000-05-02,57.6300
2000-05-03,53.4400
2000-05-04,51.0000
2000-05-05,51.3100
2000-05-08,52.3800
2000-05-09,53.0000
2000-05-10,56.6900
2000-05-11,56.0000
2000-05-12,56.8100
2000-05-15,57.0000
2000-05-16,58.0000
2000-05-17,56.3800
2000-05-18,57.9400
2000-05-19,57.0600
2000-05-22,57.3800
2000-05-23,57.1900
2000-05-24,56.8800
2000-05-25,55.0000
2000-05-26,54.0000
2000-05-30,53.3800
2000-05-31,57.6300
2000-06-01,57.0000
2000-06-02,59.0600
2000-06-05,59.3100
2000-06-06,58.2500
2000-06-07,57.8800
2000-06-08,56.8800
2000-06-09,54.0000
2000-06-12,52.7500
2000-06-13,55.0000
2000-06-14,55.1300
2000-06-15,55.5000
2000-06-16,53.8800
2000-06-19,54.3800
2000-06-20,54.5000
2000-06-21,53.9400
2000-06-22,52.5000
2000-06-23,53.7500
2000-06-26,53.7500
2000-06-27,56.8100
2000-06-28,55.9800
2000-06-29,54.1300
2000-06-30,57.6300
2000-07-03,56.8800
2000-07-05,57.0000
2000-07-06,57.5000
2000-07-07,61.5600
2000-07-10,61.2500
2000-07-11,62.0000
2000-07-12,61.0000
2000-07-13,59.1300
2000-07-14,59.5000
2000-07-17,60.7200
2000-07-18,60.0600
2000-07-19,60.0000
2000-07-20,60.0000
2000-07-21,59.6900
2000-07-24,57.4400
2000-07-25,59.1900
2000-07-26,58.7500
2000-07-27,60.0600
2000-07-28,58.6900
2000-07-31,55.2500
2000-08-01,54.5000
2000-08-02,54.0600
2000-08-03,53.8800
2000-08-04,52.9400
2000-08-07,55.1300
2000-08-08,57.6300
2000-08-09,53.6300
2000-08-10,51.0000
2000-08-11,52.1300
2000-08-14,52.8800
2000-08-15,51.7500
2000-08-16,49.9400
2000-08-17,50.0000
2000-08-18,50.8800
2000-08-21,49.0000
2000-08-22,49.1300
2000-08-23,49.1300
2000-08-24,49.4400
2000-08-25,50.5000
2000-08-28,49.5000
2000-08-29,49.4400
2000-08-30,48.4400
2000-08-31,47.6300
2000-09-01,48.7500
2000-09-05,49.7500
2000-09-06,50.0000
2000-09-07,51.0000
2000-09-08,52.1300
2000-09-11,54.3800
2000-09-12,54.0000
2000-09-13,53.8800
2000-09-14,52.5000
2000-09-15,51.9400
2000-09-18,51.1300
2000-09-19,49.8800
2000-09-20,48.5000
2000-09-21,50.0000
2000-09-22,50.5000
2000-09-25,49.0000
2000-09-26,47.3800
2000-09-27,48.1300
2000-09-28,48.5600
2000-09-29,48.1300
2000-10-02,46.2500
2000-10-03,45.8100
2000-10-04,46.1300
2000-10-05,46.0600
2000-10-06,45.5000
2000-10-09,45.1300
2000-10-10,46.3800
2000-10-11,45.3100
2000-10-12,44.1300
2000-10-13,45.0000
2000-10-16,47.3100
2000-10-17,46.0000
2000-10-18,46.7500
2000-10-19,47.8100
2000-10-20,46.5600
2000-10-23,47.3100
2000-10-24,48.3800
2000-10-25,45.9400
2000-10-26,43.4400
2000-10-27,43.2500
2000-10-30,43.7500
2000-10-31,45.3800
2000-11-01,46.6900
2000-11-02,48.4400
2000-11-03,47.3800
2000-11-06,49.0000
2000-11-07,48.9400
2000-11-08,48.7500
2000-11-09,47.1300
2000-11-10,43.6900
2000-11-13,45.3100
2000-11-14,46.8800
2000-11-15,49.0000
2000-11-16,48.2500
2000-11-17,48.5600
2000-11-20,47.8800
2000-11-21,47.1300
2000-11-22,45.8800
2000-11-24,45.1900
2000-11-27,49.3100
2000-11-28,49.0000
2000-11-29,51.8800
2000-11-30,52.1900
2000-12-01,51.1900
2000-12-04,53.8100
2000-12-05,55.2500
2000-12-06,54.8100
2000-12-07,55.0000
2000-12-08,54.4400
2000-12-11,51.3800
2000-12-12,51.8800
2000-12-13,50.3100
2000-12-14,51.0600
2000-12-15,49.8800
2000-12-18,50.5600
2000-12-19,48.0000
2000-12-20,48.9400
2000-12-21,51.7500
2000-12-22,52.5000
2000-12-26,50.6200
2000-12-27,52.5600
2000-12-28,52.9400
2000-12-29,53.1300
2001-01-02,53.8800
2001-01-03,58.4400
2001-01-04,56.1900
2001-01-05,53.9400
2001-01-08,53.9400
2001-01-09,52.7500
2001-01-10,51.6900
2001-01-11,51.9400
2001-01-12,52.9400
2001-01-16,54.6900
2001-01-17,53.9400
